device                : Apple M4 Max
maxBufferLength       : 80.64 GiB
recommendedMaxWorkSet : 107.52 GiB
state buffer          : n=33, 64.00 GiB
stream dst buffer     : n=32, 32.00 GiB
allocation (lazy)     : 0.003 s
first touch (64.0 GiB) : 2.967 s

=== 1. streaming bandwidth vs qubit count ===
n,bytes_moved,seconds,GB/s
20,16777216,0.000059,283.2
21,33554432,0.000117,287.5
22,67108864,0.000301,222.9
23,134217728,0.000567,236.9
24,268435456,0.000615,436.6
25,536870912,0.001226,437.8
26,1073741824,0.002450,438.2
27,2147483648,0.005047,425.5
28,4294967296,0.010103,425.1
29,8589934592,0.020199,425.3
30,17179869184,0.040445,424.8
31,34359738368,0.081668,420.7
32,68719476736,0.162882,421.9

=== 2. in-place 1q gate: time vs target qubit (stride sweep) ===
n,q,stride_bytes,seconds,GB/s
26,0,8,0.002265,474.0
26,1,16,0.002250,477.2
26,2,32,0.002222,483.2
26,3,64,0.002255,476.2
26,4,128,0.002282,470.4
26,5,256,0.002250,477.3
26,6,512,0.002248,477.6
26,7,1024,0.002238,479.7
26,8,2048,0.002259,475.2
26,9,4096,0.002226,482.3
26,10,8192,0.002233,480.9
26,11,16384,0.002258,475.6
26,12,32768,0.002248,477.7
26,13,65536,0.002227,482.1
26,14,131072,0.002208,486.3
26,15,262144,0.002256,475.9
26,16,524288,0.002227,482.1
26,17,1048576,0.002254,476.5
26,18,2097152,0.002240,479.4
26,19,4194304,0.002233,480.7
26,20,8388608,0.002282,470.6
26,21,16777216,0.002209,486.0
26,22,33554432,0.002236,480.2
26,23,67108864,0.002234,480.6
26,24,134217728,0.002204,487.3
26,25,268435456,0.002223,483.1
28,0,8,0.009039,475.2
28,1,16,0.009043,475.0
28,2,32,0.008742,491.3
28,3,64,0.008886,483.3
28,4,128,0.008895,482.9
28,5,256,0.009193,467.2
28,6,512,0.009174,468.2
28,7,1024,0.009267,463.5
28,8,2048,0.009178,468.0
28,9,4096,0.009148,469.5
28,10,8192,0.009035,475.4
28,11,16384,0.008919,481.6
28,12,32768,0.008981,478.2
28,13,65536,0.009112,471.4
28,14,131072,0.008971,478.8
28,15,262144,0.008824,486.7
28,16,524288,0.008877,483.8
28,17,1048576,0.008923,481.3
28,18,2097152,0.009221,465.8
28,19,4194304,0.009186,467.5
28,20,8388608,0.009176,468.1
28,21,16777216,0.009145,469.6
28,22,33554432,0.009139,469.9
28,23,67108864,0.009010,476.7
28,24,134217728,0.009031,475.6
28,25,268435456,0.009090,472.5
28,26,536870912,0.008908,482.1
28,27,1073741824,0.008920,481.5
30,0,8,0.036201,474.6
30,1,16,0.035836,479.4
30,2,32,0.035496,484.0
30,3,64,0.035417,485.1
30,4,128,0.035836,479.4
30,5,256,0.035958,477.8
30,6,512,0.035686,481.4
30,7,1024,0.035659,481.8
30,8,2048,0.035616,482.4
30,9,4096,0.035543,483.4
30,10,8192,0.035444,484.7
30,11,16384,0.035469,484.4
30,12,32768,0.035563,483.1
30,13,65536,0.035455,484.6
30,14,131072,0.035693,481.3
30,15,262144,0.035601,482.6
30,16,524288,0.035388,485.5
30,17,1048576,0.035384,485.5
30,18,2097152,0.035184,488.3
30,19,4194304,0.035317,486.4
30,20,8388608,0.035527,483.6
30,21,16777216,0.035762,480.4
30,22,33554432,0.035629,482.2
30,23,67108864,0.035741,480.7
30,24,134217728,0.035510,483.8
30,25,268435456,0.035409,485.2
30,26,536870912,0.035545,483.3
30,27,1073741824,0.035335,486.2
30,28,2147483648,0.035632,482.1
30,29,4294967296,0.035209,487.9
32,0,8,0.141765,484.7
32,1,16,0.141671,485.1
32,2,32,0.142430,482.5
32,3,64,0.141221,486.6
32,4,128,0.141195,486.7
32,5,256,0.141082,487.1
32,6,512,0.142351,482.7
32,7,1024,0.144385,475.9
32,8,2048,0.142529,482.1
32,9,4096,0.144761,474.7
32,10,8192,0.143778,478.0
32,11,16384,0.142706,481.5
32,12,32768,0.142500,482.2
32,13,65536,0.142509,482.2
32,14,131072,0.142323,482.8
32,15,262144,0.142521,482.2
32,16,524288,0.144796,474.6
32,17,1048576,0.143125,480.1
32,18,2097152,0.142600,481.9
32,19,4194304,0.143244,479.7
32,20,8388608,0.143464,479.0
32,21,16777216,0.145808,471.3
32,22,33554432,0.145245,473.1
32,23,67108864,0.145149,473.4
32,24,134217728,0.147621,465.5
32,25,268435456,0.146581,468.8
32,26,536870912,0.146286,469.8
32,27,1073741824,0.143544,478.7
32,28,2147483648,0.142114,483.6
32,29,4294967296,0.142380,482.6
32,30,8589934592,0.142594,481.9
32,31,17179869184,0.142758,481.4

=== 3. residency under sustained load at n=33 ===
iter,q,seconds,GB/s
0,0,0.287069,478.8
1,1,0.285883,480.8
2,2,0.289374,475.0
3,3,0.293620,468.1
4,0,0.295156,465.6
5,1,0.301330,456.1
6,2,0.296783,463.1
7,3,0.297351,462.2
8,0,0.291698,471.2
9,1,0.292291,470.2
10,2,0.291365,471.7
11,3,0.298675,460.2
12,0,0.298515,460.4
13,1,0.302876,453.8
14,2,0.299852,458.4
15,3,0.300610,457.2

done
