
dispatch reduction (the quantity fusion exists to cut)
circuit                n    gates  unfused    fused    ratio
ghz                   24       24       24       24    1.00x
ghz                   33       33       33       33    1.00x
qft                   24      300      300       47    6.38x
qft                   33      561      561       65    8.63x
qaoa_ring_p6          24      600      600       48   12.50x
qaoa_ring_p6          33      825      825       69   11.96x
tfim_trotter_20       24     1860     1860      140   13.29x
tfim_trotter_20       33     2580     2580      200   12.90x
grover_proxy_4        24      416      416       62    6.71x
grover_proxy_4        33      569      569       89    6.39x
random_d10            24      355      355      195    1.82x
random_d10            33      490      490      269    1.82x
hea_d3                24      213      213       87    2.45x
hea_d3                33      294      294      123    2.39x
